Table with row headers in column A and column headers in rows 4 through 5,,,,,,,,,,,,,,,,,,,,,,
"Table 3. Detailed Years of School Completed by People 25 Years and Over by Sex, Age Groups, Race and Hispanic Origin: 2022",,,,,,,,,,,,,,,,,,,,,,
(Numbers in thousands. Civilian noninstitutionalized population.1),,,,,,,,,,,,,,,,,,,,,,
Detailed years of school,All people,,Male,,Female,,25 to 34 years old,,35 to 54 years old,,55 years and older,,White,,Non-Hispanic White,,Black,,Asian,,Hispanic (of any race),
"	 Three years of college, no degree","3,420",1.5,"1,800",1.6,"1,620",1.4,912,2.0,"1,167",1.4,"1,342",1.4,"2,611",1.5,"2,154",1.5,563,2.0,140,1.0,522,1.4
"	 Four or more years of college, no degree","1,410",0.6,763,0.7,647,0.6,384,0.9,489,0.6,537,0.5,"1,057",0.6,809,0.6,197,0.7,95,0.6,275,0.7
"Associate's degree, vocational",,,,,,,,,,,,,,,,,,,,,,
"	 Less than 1 year college, vocational/associate's",576,0.3,248,0.2,328,0.3,92,0.2,205,0.2,279,0.3,431,0.2,377,0.3,103,0.4,9,0.1,91,0.2
"	 One year of college, vocational/associate's","1,292",0.6,579,0.5,713,0.6,283,0.6,515,0.6,493,0.5,"1,029",0.6,878,0.6,180,0.6,45,0.3,160,0.4
"	 Two years of college, vocational/associate's","6,451",2.9,"3,258",3.0,"3,193",2.7,"1,082",2.4,"2,368",2.8,"3,000",3.0,"5,208",3.0,"4,459",3.1,775,2.7,228,1.6,869,2.4
"	 Three years of college, vocational/associate's",844,0.4,380,0.3,464,0.4,151,0.3,324,0.4,370,0.4,657,0.4,500,0.3,132,0.5,26,0.2,183,0.5
"	 Four or more years of college, vocational/associate's",865,0.4,425,0.4,441,0.4,128,0.3,375,0.4,362,0.4,683,0.4,592,0.4,105,0.4,49,0.3,111,0.3
"Associate's degree, academic",,,,,,,,,,,,,,,,,,,,,,
"	 Less than 1 year college, academic/associate's",142,0.1,68,0.1,74,0.1,23,0.1,40,Z,78,0.1,122,0.1,107,0.1,14,Z,2,Z,22,0.1
"	 One year of college, academic/associate's",710,0.3,287,0.3,423,0.4,128,0.3,250,0.3,332,0.3,539,0.3,481,0.3,130,0.5,15,0.1,87,0.2
"	 Two years of college, academic/associate's","9,507",4.2,"4,002",3.6,"5,505",4.7,"1,918",4.3,"3,414",4.1,"4,175",4.2,"7,476",4.3,"6,475",4.5,"1,264",4.4,399,2.7,"1,153",3.1
"	 Three years of college, academic/associate's","1,626",0.7,676,0.6,949,0.8,345,0.8,571,0.7,709,0.7,"1,247",0.7,"1,039",0.7,223,0.8,88,0.6,236,0.6
"	 Four or more years of college, academic/associate's","1,662",0.7,693,0.6,969,0.8,382,0.9,624,0.7,656,0.7,"1,305",0.7,"1,057",0.7,216,0.8,71,0.5,268,0.7
Bachelor's degree or higher,,,,,,,,,,,,,,,,,,,,,,
	 Bachelor's degree,"53,045",23.4,"25,192",22.9,"27,853",24.0,"12,735",28.6,"20,874",25.1,"19,436",19.8,"42,000",23.9,"37,335",26.1,"4,897",17.1,"4,782",32.6,"5,348",14.5
	 Master's degree2,"23,881",10.6,"10,156",9.2,"13,725",11.8,"4,371",9.8,"10,412",12.5,"9,098",9.2,"18,299",10.4,"16,774",11.7,"2,292",8.0,"2,774",18.9,"1,737",4.7
	 Professional degree,"3,444",1.5,"1,860",1.7,"1,584",1.4,491,1.1,"1,419",1.7,"1,534",1.6,"2,766",1.6,"2,473",1.7,281,1.0,358,2.4,330,0.9
	 Doctorate degree,"4,848",2.1,"2,644",2.4,"2,203",1.9,722,1.6,"1,960",2.4,"2,166",2.2,"3,553",2.0,"3,302",2.3,413,1.4,778,5.3,282,0.8
"""Z"" represents rounds to zero. 0 represents true zero.",,,,,,,,,,,,,,,,,,,,,,
1 Plus armed forces living off post or with their families on post.,,,,,,,,,,,,,,,,,,,,,,
"2 Detail on graduate school attendance and length of master's degree program, available in previous years, discontinued due to questionnaire changes in 2015.",,,,,,,,,,,,,,,,,,,,,,
Details may not sum to totals due to rounding.,,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2022 Annual Social and Economic Supplement (CPS ASEC).",,,,,,,,,,,,,,,,,,,,,,
"Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar22.pdf>.",,,,,,,,,,,,,,,,,,,,,,
